state,abbr,slug,fee_schedule_short,fee_schedule_full,fee_schedule_agency,fee_schedule_url,pharmacy_basis,settlement_approval_agency_short,settlement_approval_agency_full,settlement_approval_quirk,cms_regional_office,quirk_1,quirk_2,quirk_3,metro_1,metro_2,metro_3,metro_4,metro_5,caselaw_citation,handwrite_recommended,verify_status,sources
Nebraska,NE,nebraska,Nebraska WC Court Medical Services Fee Schedule,"Nebraska Workers' Compensation Court Schedule of Fees for Medical Services (established under Neb. Rev. Stat. § 48-120; updated annually; current edition effective January 1 2025)",Nebraska Workers' Compensation Court,https://www.newcc.gov/service-providers/medical-providers/fee-schedules/medical-services-fee-schedule,AWP-based per the Court's published fee schedule (pharmacy reimbursement is included in the schedule adopted under § 48-120; no separate closed formulary; specific AWP discount or formula VERIFY directly from current schedule),Nebraska WC Court,Nebraska Workers' Compensation Court,"Lump sum settlement applications must be filed with the Court under Neb. Rev. Stat. § 48-139 and Court Rule 47; the application requires a signed and verified petition from all parties, supporting medical reports, and a proposed approval order; a compromise settlement requires a showing of genuine dispute; payment must occur within 30 days of approval.",Kansas City,"Nebraska workers' compensation is adjudicated by a specialized court (the Nebraska Workers' Compensation Court); single-judge panels handle initial hearings statewide, and appeals go directly to the Nebraska Court of Appeals.","The Nebraska WC Court fee schedule is reviewed at least biennially and updated annually effective January 1; it incorporates CMS RBRVS relative value units with Nebraska-specific conversion factors, so projected future costs follow the Court's schedule as the cost basis.","The Court's Legal section reviews every lump sum settlement application for adequacy and statutory compliance before a judge approves it, adding a substantive administrative review step that is separate from the judge's formal approval; incomplete applications are returned before the judge ever acts.",Omaha,Lincoln,Bellevue,Grand Island,Kearney,,N,PARTIALLY_CONFIRMED,"https://www.newcc.gov/service-providers/medical-providers/fee-schedules/medical-services-fee-schedule; https://nebraskalegislature.gov/laws/statutes.php?statute=48-120; https://www.newcc.gov/resources/court-forms-and-publications/rules-of-procedure/rule-47"
Nevada,NV,nevada,Nevada Medical Fee Schedule (NMFS),"Nevada Medical Fee Schedule, reviewed and revised annually by the Administrator of the Division of Industrial Relations, effective February 1 each year","Nevada Division of Industrial Relations (DIR), Department of Business and Industry",https://dir.nv.gov/WCS/Medical_Providers/,"AWP-based pending transition; Nevada adopted the ODG Drug Formulary (SB 317, signed June 2025) effective September 9 2025; full closed-formulary enforcement begins July 1 2027, with non-formulary coverage continuing until January 1 2028",DIR,Nevada Division of Industrial Relations,"Under NRS 616C.415, DIR must receive and approve stipulated settlement agreements; insurers must provide workers a written explanation of all settlement alternatives before any agreement is finalized.",San Francisco,"Nevada's newly adopted ODG Drug Formulary (SB 317, 2025) will restrict reimbursable medications for all workers' compensation claims; any WCMSA projecting drug costs beyond 2027 must account for formulary status of each projected drug, since non-formulary drugs will be denied reimbursement absent a successful appeal to the Hearings Division.","For permanent partial disability ratings at or below 30% of whole person impairment, the full award may be paid as a lump sum; above 30%, only up to 30% may be paid as a lump sum with the remainder in installments, which constrains settlement structure and affects when future medical obligations are transferred.","Nevada uses designated treating clinician panels (provider panels) with rules updated alongside the SB 317 formulary legislation; if a claimant is directed to treat within a panel, projected future treating clinicians in the WCMSA must reflect that panel structure.",Las Vegas,Henderson,Reno,North Las Vegas,Sparks,,N,PARTIALLY_CONFIRMED,"https://dir.nv.gov/WCS/Medical_Providers/; https://dir.nv.gov/uploadedFiles/dirnvgov/content/WCS/MedicalDocs/2025%20NV%20MFS%20and%20Memo.pdf; https://dir.nv.gov/WCS/MedicalDocs/TheODGDrugFormularyAdoption/"
New Hampshire,NH,new-hampshire,No published fee schedule,New Hampshire does not publish a workers' compensation medical fee schedule,New Hampshire Department of Labor (Workers' Compensation Division),https://www.dol.nh.gov/workers-compensation,No WC-specific pharmacy fee schedule; pharmacy reimbursement governed by usual and customary charge under RSA 281-A:23,NH Department of Labor,"New Hampshire Department of Labor, Workers' Compensation Division","All settlements where compensability has been admitted or ordered require Commissioner approval; a formal hearing is required before approval, and lump-sum settlements are generally approved only after twelve months of continuous disability.",Boston,"The absence of a published fee schedule means WCMSA projections for New Hampshire claimants cannot use a state-specific maximum allowable rate; instead, projections must use the provider's usual and customary charge or, where a managed care network contract applies, the negotiated rate, requiring verification of network participation for each projected provider.","New Hampshire operates a two-tier medical payment structure: managed care networks negotiate fees for participating clinicians, while providers outside those networks bill usual and customary charges that carriers may challenge as excessive under RSA 281-A:24; the applicable tier for a given claimant must be identified when projecting future treatment costs.","Medical costs in New Hampshire workers' compensation account for a high share of total claim costs (above the national average), which reflects the absence of fee-schedule price controls; this cost environment makes accurate WCMSA pricing more variable and carrier scrutiny of projections higher.",Manchester,Nashua,Concord,Derry,Dover,,N,PARTIALLY_CONFIRMED,"https://www.dol.nh.gov/workers-compensation; https://www.dol.nh.gov/workers-compensation/cost-containment; https://www.alfainternational.com/compendium/workers-compensation/new-hampshire/"
New Jersey,NJ,new-jersey,No published fee schedule,New Jersey workers' compensation medical services are reimbursed at reasonable and customary rates under N.J.S.A. 34:15-15,"New Jersey Division of Workers' Compensation, Department of Labor and Workforce Development",https://www.nj.gov/labor/workerscompensation/tools-resources/legal-information/,VERIFY (no WC-specific pharmacy fee schedule confirmed; likely usual and customary basis consistent with the absence of a medical fee schedule),NJ Division of Workers' Compensation,New Jersey Division of Workers' Compensation,"Settlements proceed as either a Section 20 dismissal (N.J.S.A. 34:15-20), which fully extinguishes future rights and requires a genuine disputed issue, or a Section 22 Order Approving Settlement, which assigns a disability percentage and preserves the right to reopen; a judge of compensation must approve both types.",New York,"The employer and carrier control the choice of authorized treating clinician under N.J.S.A. 34:15-15; treatment outside the authorized provider is not compensable except in emergencies, so the treating clinician roster that forms the WCMSA medical history is entirely employer-directed, which can affect the completeness and objectivity of the clinical record.","Because there is no published medical fee schedule, WCMSA projections for New Jersey claimants must use the provider's reasonable and customary charge; this can produce higher projected costs than in fee-schedule states and warrants explicit documentation of pricing methodology in the report.","Section 20 dismissals require a disputed issue of liability, causation, or jurisdiction; a WCMSA tied to a Section 20 settlement must clearly document the basis for dispute, because a settlement that looks like an accepted claim resolved for payment convenience may not qualify, affecting the legal posture of the MSA.",Newark,Jersey City,Paterson,Elizabeth,Edison,,N,PARTIALLY_CONFIRMED,"https://www.nj.gov/labor/workerscompensation/tools-resources/legal-information/; https://www.nj.gov/labor/workerscompensation/assets/PDFs/Forms/wc_law.pdf; https://www.law.cornell.edu/regulations/new-jersey/N-J-A-C-12-235-3-13"
New Mexico,NM,new-mexico,WCA Health Care Provider Fee Schedule,New Mexico Workers' Compensation Administration Health Care Provider Fee Schedule and Billing Instructions,New Mexico Workers' Compensation Administration (WCA),https://www.workerscomp.nm.gov/wp-content/uploads/2025/04/NewMexicoPFS2025.pdf,"AWP of the lowest-priced therapeutically equivalent drug (per unit, prorated from the ""100s each"" quantity as listed in a nationally recognized publication on the date of dispensing); no separate closed formulary",WCA,New Mexico Workers' Compensation Administration,"Lump sum settlement requires a hearing before a workers' compensation judge; the judge must find the agreement fair, equitable, and in substantial compliance with the Act, and must ensure unrepresented workers affirmatively understand that medical benefits cease permanently upon approval (NMSA §§ 52-5-12 and 52-5-13).",Dallas,"New Mexico policy disfavors lump sum settlement; the statute (§ 52-5-12) states it is in the best interest of injured workers to receive periodic benefits, so judges scrutinize lump sum proposals more closely than in most states.","Mediation is mandatory before a formal hearing can proceed; the WCA mediator issues a Recommended Resolution that binds both parties if neither rejects it, so many cases resolve at mediation without a full trial record, affecting the depth of medical documentation available.","The WCA fee schedule is updated annually by Director's Order and is not RBRVS-identical to Medicare; conversion to projected future costs uses the current WCA schedule rates as the cost basis.",Albuquerque,Las Cruces,Rio Rancho,Santa Fe,Roswell,,N,CONFIRMED,"https://www.workerscomp.nm.gov/wp-content/uploads/2025/04/NewMexicoPFS2025.pdf; https://www.workerscomp.nm.gov/; https://law.justia.com/codes/new-mexico/chapter-52/article-5/section-52-5-12/"
New York,NY,new-york,Official NY WC Medical Fee Schedule,Official New York Workers' Compensation Medical Fee Schedule (incorporating the New York State Workers' Compensation Drug Formulary for pharmaceuticals),New York State Workers' Compensation Board (WCB),https://www.wcb.ny.gov/content/main/hcpp/FeeSchedules.jsp,"Brand drugs: AWP minus 12% plus $4.00 dispensing fee; generic drugs: AWP minus 20% plus $5.00 dispensing fee (effective October 1 2019); subject to the state drug formulary's preferred/non-preferred/exempt classification",NY WCB,New York State Workers' Compensation Board,"Full and final settlements proceed under Workers' Compensation Law Section 32 as Waiver Agreements; the Board (or a designee) reviews the agreement administratively, issues provisional approval, allows a ten-day withdrawal period, then issues a formal decision; payment is due within ten days of the formal decision.",New York,"New York's Medical Treatment Guidelines (MTGs, mandatory since December 2010 and last updated May 2022) set evidence-based treatment standards for major body regions; treatment outside MTG parameters requires prior authorization through the Board's OnBoard system, and this authorization history shapes what future treatment is demonstrably probable for WCMSA purposes.","New York's drug formulary (effective March 2022) classifies drugs as Phase A, Phase B, perioperative, or non-formulary; non-formulary drugs require prior authorization from the carrier, and any controlled substance or specialty drug projected in a WCMSA must be checked against current formulary status because reimbursability depends on the formulary classification.","Schedule Loss of Use (SLU) awards compensate permanent functional loss of scheduled extremities and are distinct from permanency classification cases; an SLU case can settle without a finding of total or partial disability, and the medical picture underlying an SLU settlement (including remaining treatment need) must still be fully captured in the WCMSA even though the indemnity structure differs from a classification case.",New York,Buffalo,Rochester,Yonkers,Syracuse,,Y,CONFIRMED,"https://www.wcb.ny.gov/content/main/hcpp/FeeSchedules.jsp; https://www.wcb.ny.gov/content/main/hcpp/PharmacyFeeSchedule.jsp; https://www.wcb.ny.gov/content/main/hcpp/DrugFormulary/overview.jsp; https://www.wcb.ny.gov/Section32/section32_waiver-agreements-guidance.jsp"
North Carolina,NC,north-carolina,NCIC Medical Fee Schedule,North Carolina Industrial Commission Medical Fee Schedule,North Carolina Industrial Commission,https://www.ic.nc.gov/ncic/pages/feesched.asp,95% of AWP per unit as of the date of dispensing (the lesser of that amount or the provider's contracted rate with the payor); original manufacturer NDC required on all billing; no closed formulary,North Carolina Industrial Commission,North Carolina Industrial Commission (Deputy Commissioner),"All compromise settlement agreements (called ""clinchers"") must be submitted to and approved by a Deputy Commissioner of the North Carolina Industrial Commission, who reviews for fairness and the best interest of all parties under NCIC Rule 502; the agreement must confirm that all medical expenses through the settlement date are addressed by the employer or carrier before approval is granted.",Atlanta,"The NCIC fee schedule is anchored to 1995 North Carolina Medicare values multiplied by service-category-specific factors (for example, 1.58 for general medicine CPT codes, 2.05 for evaluation and management codes 99201-99215); because the base year is 1995, the resulting NCIC rate may be significantly higher or lower than current Medicare rates depending on the CPT code, and a WCMSA must use the applicable NCIC maximum.","Where neither the NCIC fee schedule nor a contracted rate applies, the reimbursement ceiling is the provider's usual, customary, and reasonable charge under G.S. § 97-26; this means some services for which the NCIC schedule is silent may be projected at UCR levels, and the WCMSA must identify which rate basis applies to each projected service.","North Carolina uses a Form 26A agreement to memorialize accepted claims and compensation amounts, and a separate compromise settlement agreement (clincher) to close future medical; a settlement that closes only indemnity while leaving medical open is procedurally distinct from a full clincher, and the WCMSA is only relevant to closures that include future medical.",Charlotte,Raleigh,Greensboro,Durham,Winston-Salem,,N,CONFIRMED,"https://www.ic.nc.gov/ncic/pages/feesched.asp; https://www.ic.nc.gov/ncic/pages/statute/97-26.htm; https://www.ic.nc.gov/ncic/pages/R502.HTM"
North Dakota,ND,north-dakota,WSI Medical Fee Schedule,"North Dakota Workforce Safety & Insurance Fee Schedule Guidelines (Medical Provider, Pharmacy, Inpatient Hospital, and DME schedules)",North Dakota Workforce Safety & Insurance (WSI),https://www.workforcesafety.com/medical-providers/billing-payment,WAC plus 8% plus a per-item dispensing fee of $4.00 (or UCR whichever is lesser); pharmacy fee schedule based on Wolters Kluwer Medi-Span Electronic Drug File WAC data; WSI contracts with LucyRx as pharmacy benefit manager,WSI,North Dakota Workforce Safety & Insurance,"WSI is the sole insurer and the sole settlement authority in North Dakota's monopolistic system; there is no private insurer counterparty, so all settlement negotiations are conducted directly with WSI, which may separately close a disability claim while holding medical benefits open, or may convert benefits to a structured arrangement.",Denver,"North Dakota's monopolistic fund structure means WSI simultaneously administers claims, sets reimbursement rates, and functions as the settlement counterparty; a WCMSA clinician must project future care costs against WSI's own fee schedule, because no private-insurer variation applies.","WSI uses ODG by MCG (formerly Official Disability Guidelines) as its evidence-based medical treatment guideline framework; projected future treatment that falls outside ODG benchmarks requires prior authorization, and the WCMSA must account for whether WSI's utilization review process would support projected treatment.","A claim is presumed closed if WSI has not paid any benefit for four years; this dormancy rule can affect how ongoing medical benefit entitlement is established in a WCMSA settlement, and active treatment records should be maintained to avoid inadvertent claim closure.",Fargo,Bismarck,Grand Forks,Minot,West Fargo,,Y,CONFIRMED,"https://www.workforcesafety.com/medical-providers/pharmacy-services/fee-schedule; https://www.workforcesafety.com/news/updated-fee-schedules-effective-january-1-2025; https://ndlegis.gov/cencode/t65c01.pdf"
Ohio,OH,ohio,Ohio BWC Fee Schedule,Ohio Bureau of Workers' Compensation Medical Fee Schedule (administered under Ohio Administrative Code Chapter 4123-6),Ohio Bureau of Workers' Compensation (BWC),https://info.bwc.ohio.gov/for-providers/billing-and-reimbursement,AWP minus 15% plus $3.50 dispensing fee; 2025 proposed rule amendments would cap non-sterile compound reimbursement at $100 and replace fixed compound dispensing fees with time-based fees,Ohio BWC / Industrial Commission,Ohio Bureau of Workers' Compensation (BWC) with Industrial Commission of Ohio (IC) review,"State-fund settlements require BWC approval via Form C-240, followed by a 30-day IC review window during which the IC may disapprove only for clear unfairness; if the IC does not act, the settlement is approved by operation of law, after which a mandatory 30-day cooling-off period runs before finality.",Chicago,"Ohio's WC claims are allowed or denied on a condition-by-condition basis, and BWC's reimbursement is limited to the allowed conditions in the claim; a WCMSA must address only conditions that have been formally allowed, and any additional conditions requested via C-9 but not yet allowed are not includable until and unless BWC allows them.","Ohio BWC is the sole insurer for non-self-insured employers (monopolistic state-fund jurisdiction); private WC carriers do not operate in this market, so all state-fund claim settlement procedures, fee schedule rates, and formulary rules flow through BWC rather than commercial insurer programs.","Ohio BWC maintains a fee lookup tool (searchable by CPT code) and publishes separate fee schedules for physician services, hospital outpatient (OPPS-based), and ambulatory surgery centers; the applicable schedule depends on the setting of care, so projecting future treatment costs in a WCMSA requires matching each projected service to the correct Ohio BWC fee schedule tier.",Columbus,Cleveland,Cincinnati,Toledo,Akron,,Y,CONFIRMED,"https://info.bwc.ohio.gov/for-providers/billing-and-reimbursement; https://www.bwc.ohio.gov/provider/services/feelookup/; https://www.bwc.ohio.gov/worker/programs/claimsettlement/CSDescription.asp"
Oklahoma,OK,oklahoma,WCC Medical Fee Schedule,Oklahoma Workers' Compensation Commission Schedule of Medical and Hospital Fees,Oklahoma Workers' Compensation Commission (WCC),https://www.wcc.ok.gov/medical,90% of AWP plus $5.00 dispensing fee per prescription; closed formulary adopted by rule under Title 85A § 50; non-formulary drugs require preauthorization with a documented plan of care; generic equivalent required when available,WCC,Oklahoma Workers' Compensation Commission,"Joint petition settlements are filed with the WCC and approved by a Commissioner; a Benefit Review Officer who conducted the preliminary conference on a claim may not approve the joint petition for that same claim.",Dallas,"Oklahoma requires impairment ratings for permanent partial disability to use the AMA Guides Sixth Edition, which produces different rating values than states still using older editions; the Sixth Edition methodology is the baseline for understanding the disability scope in any WCMSA.","Oklahoma's closed formulary (adopted under 85A § 50, implemented via WCC rules and ODG) requires preauthorization for drugs not on the formulary; every drug projected in a WCMSA must be checked against formulary status, because non-formulary projection without a documented clinical exception is contestable.","ODG Treatment in Workers' Compensation is the statutory evidence-based treatment standard in Oklahoma (85A § 16); projected future treatment that falls outside ODG parameters requires additional clinical support to withstand scrutiny.",Oklahoma City,Tulsa,Norman,Broken Arrow,Edmond,"Vasquez v. Dillard's, Inc., 2016 OK 89, 381 P.3d 768",N,CONFIRMED,"https://www.wcc.ok.gov/medical; https://law.justia.com/codes/oklahoma/title-85a/section-85a-50/; https://law.justia.com/codes/oklahoma/title-85a/section-85a-115/"
Oregon,OR,oregon,Oregon WC Medical Fee Schedule (OAR 436-009),"Oregon Workers' Compensation Medical Fee Schedule, Oregon Administrative Rules Chapter 436 Division 009","Oregon Workers' Compensation Division (WCD), Department of Consumer and Business Services (DCBS)",https://wcd.oregon.gov/medical/pages/fee-schedules-forms.aspx,AWP-based per OAR 436-009-0090; non-compounding pharmacy at a scheduled percentage of AWP plus dispensing fee; compounding pharmacy at 83.5% of AWP per ingredient plus $10 compounding and dispensing fee; insurer uses a nationally published pricing guide (RED BOOK or Medi-Span),Workers' Compensation Board (WCB),Oregon Workers' Compensation Board,"Claim Disposition Agreements (CDAs) on accepted claims are reviewed and approved by the Workers' Compensation Board; the Board may reject a CDA if no bona fide dispute exists or if the proposed disposition is not reasonable, and workers retain a 30-day cooling-off period to request disapproval (waivable if represented by counsel).",Seattle,"Under Oregon's CDA structure, a worker retains medical benefits for life even after a CDA closes indemnity; the WCMSA must therefore account for continuing medical obligations that the insurer still owes, distinguishing what is allocated to the WCMSA from what remains an open carrier obligation.","Oregon operates as a no-fault system with a 60-day window for insurers to accept or deny claims; new or omitted conditions also trigger a separate 60-day decision cycle, so the accepted-condition scope can shift post-settlement and affect whether WCMSA projections are complete.","Oregon's 2025 billing code mandate requires use of AMA CPT 2025, HCPCS 2025, and ADA CDT 2025 codes on all bills; a WCMSA projecting future treatment must use current-year coding to ensure projected services map to reimbursable code sets.",Portland,Salem,Eugene,Gresham,Hillsboro,,N,PARTIALLY_CONFIRMED,"https://wcd.oregon.gov/medical/pages/fee-schedules-forms.aspx; https://oregon.public.law/rules/oar_436-009-0090; https://wcd.oregon.gov/worker/Pages/settlements.aspx"
Pennsylvania,PA,pennsylvania,PA WC Medical Fee Schedule,Pennsylvania Workers' Compensation Medical Fee Schedule (Part A and Part B) administered under 34 Pa. Code Chapter 127,"Pennsylvania Department of Labor and Industry, Bureau of Workers' Compensation, Health Care Services Review Division",https://www.pa.gov/agencies/dli/programs-services/workers-compensation/wc-health-care-services-review/wc-fee-schedule,110% of AWP per unit as of the date of dispensing (statutory basis under the PA Workers' Compensation Act); ongoing 2024-2025 litigation centers on whether NADAC or the Red Book AWP source applies; Bureau has moved toward NADAC with no dispensing fee added under that methodology,Workers' Compensation Judge (WCJ),"Pennsylvania Bureau of Workers' Compensation, Workers' Compensation Office of Adjudication — Workers' Compensation Judge","All Compromise and Release Agreements (C&R) under Section 449 of the Act require a hearing before a Workers' Compensation Judge who must find on the record that the injured worker understands the terms; neither party is bound until the WCJ signs the approval order.",Philadelphia,"Pennsylvania's Impairment Rating Evaluation (IRE) process, triggered after 104 weeks of total disability compensation, can convert a claimant's status from total to partial disability (capping benefits at 500 weeks) if the whole-body impairment rating is below 35%; WCMSA projections must account for whether IRE status has changed the benefit trajectory at settlement.","Pharmacy reimbursement is statutorily set at 110% of AWP, but the Commonwealth Court has questioned which AWP publication controls; a WCMSA projecting drug costs in Pennsylvania should note this pricing ambiguity and use the current Bureau-applied methodology at the time of allocation.","Pennsylvania's utilization review (UR) process under 34 Pa. Code Chapter 127 Subchapter C allows any party to challenge the reasonableness or necessity of treatment; a UR denial that has become final limits what future treatment is provable for WCMSA purposes, and any UR-denied treatment category should be addressed explicitly in the allocation rationale.",Philadelphia,Pittsburgh,Allentown,Erie,Reading,,N,CONFIRMED,"https://www.pa.gov/agencies/dli/programs-services/workers-compensation/wc-health-care-services-review/wc-fee-schedule; https://www.pacodeandbulletin.gov/Display/pacode?file=%2Fsecure%2Fpacode%2Fdata%2F034%2Fchapter127%2Fchap127toc.html; https://www.chartwelllaw.com/resources/pennsylvania-court-sets-aside-red-book-standard-for-pennsylvania-workers-compensation-prescriptions"
Rhode Island,RI,rhode-island,RI WC Medical Fee Schedule,Rhode Island Workers' Compensation Medical Fee Schedule (issued annually by the Director of the Department of Labor and Training),Rhode Island Department of Labor and Training (DLT),https://dlt.ri.gov/workers-compensation/insurers-and-adjusters/medical-fees-hospital-rates,"AWP up to 120%; if the pharmacy provides an invoice, reimbursement may be up to 120% of actual cost",RI Workers' Compensation Court,Rhode Island Workers' Compensation Court,"All settlements must be approved by a judge of the Workers' Compensation Court under R.I. Gen. Laws §§28-33-25 and 28-33-25.1; the court distinguishes between denial-and-dismissal settlements (pre-liability) and commutation settlements (post-liability), and commutation petitions must address whether future medical needs are funded.",Boston,"Rhode Island routes all workers' compensation disputes through a specialized judicial court (created in 1991); every contested element of a WCMSA-adjacent settlement, including medical allocation, is resolved through judicial proceedings before an appointed judge, which affects documentation standards and hearing timelines.","Injured workers retain the right to choose the first treating clinician; if the insurer has filed a Preferred Provider Network (PPN) with the Medical Advisory Board, any subsequent clinician change must be to a PPN-listed provider, making the treating clinician roster for WCMSA purposes dependent on which PPN, if any, applies to the claim.","Commutation petitions must disclose the Medicare set-aside amount to the court, so the WCMSA figure becomes part of the judicial record and is subject to the judge's review of whether the settlement adequately addresses future medical needs.",Providence,Warwick,Cranston,Pawtucket,East Providence,,N,CONFIRMED,"https://dlt.ri.gov/workers-compensation/insurers-and-adjusters/medical-fees-hospital-rates; https://www.courts.ri.gov/courts/workerscompensationcourt/Pages/default.aspx; https://law.justia.com/codes/rhode-island/title-28/chapter-28-33/"
South Carolina,SC,south-carolina,SCWCC Medical Services Provider Manual,South Carolina Workers' Compensation Commission Medical Services Provider Manual,"South Carolina Workers' Compensation Commission, Medical Services Division",https://www.wcc.sc.gov/medical-fee-schedules,"AWP of the original manufacturer's NDC as of the date of dispensing (sourced from Medi-Span or IBM Micromedex RED BOOK), plus a $5.00 dispensing fee for repackaged or relabeled drugs; compound drugs require prior authorization per dispensing; if AWP data is unavailable, WAC plus 20% substitutes; professional services conversion factor set at $52.00 effective March 2026",SCWCC,South Carolina Workers' Compensation Commission (Commissioner),"Workers' compensation settlements in South Carolina are approved by a Commissioner of the SCWCC; unrepresented claimants must attend a settlement conference with the Commissioner, who scrutinizes the agreement for fairness, while represented parties may proceed through a more streamlined filing process, with a $50 filing fee for all settlements.",Atlanta,"South Carolina employers control the initial selection of the authorized treating clinician; the SCWCC has discretion to authorize care from an unauthorized clinician in certain circumstances, but the treating record built under the employer-selected clinician is the primary evidentiary basis for projecting future medical need in a WCMSA.","The authorized treating clinician completes a Form 14B (Physician's Statement) at or near MMI, documenting diagnosis, work restrictions, and whether future medical care will be required; that form is a primary source document for WCMSA projections, and a projection that departs materially from the Form 14B findings requires clear supporting documentation.","South Carolina's medical fee schedule conversion factor is set by Commission vote and updated periodically; the 2026 conversion factor of $52.00 for professional services was approved at the March 2026 business meeting, so projected future costs must use the rate in effect at the time of the report, confirmed against the current Manual edition.",Charleston,Columbia,North Charleston,Mount Pleasant,Rock Hill,,N,CONFIRMED,"https://www.wcc.sc.gov/medical-fee-schedules; https://wcc.sc.gov/medical-services-faqs; https://www.mgclaw.com/news/south-carolina-workers-compensation-commission-revises-form-14b/"
South Dakota,SD,south-dakota,South Dakota WC Medical Fee Schedule,"South Dakota Workers' Compensation Medical Fee Schedule (Rule 47:03:05), based on Optum Relative Values for Physicians (RVP)","South Dakota Department of Labor and Regulation, Division of Labor and Management",https://dlr.sd.gov/workers_compensation/default.aspx,Usual and customary charge; South Dakota has no state-specific pharmacy fee schedule for workers' compensation and does not publish AWP-based reimbursement ceilings; no physician-dispensing guidance is published,SD Division of Labor and Management,"South Dakota Department of Labor and Regulation, Division of Labor and Management","Under SDCL 62-7-5, a settlement memorandum filed with the Division is deemed approved and enforceable if the Division does not object within twenty days; there is no judicial approval requirement, and the 20-day non-response window constitutes constructive approval.",Denver,"Full and final settlements that close medical benefits are available in South Dakota only when compensability is genuinely at issue; if liability is accepted, medical benefits generally remain open, and a WCMSA must reflect that future injury-related treatment may remain a carrier obligation unless compensability itself is in dispute.","South Dakota adopted the 2025 Optum Relative Values for Physicians (RVP) effective late 2025, updating from the 2020 edition; because the fee schedule is RVP-based, a clinician projecting future medical costs should confirm which RVP edition is in effect at the time of the WCMSA to use the correct relative value units.","South Dakota is a worker-choice state for treating clinician selection; the worker notifies the employer before or as soon as practicable after treatment, and changes of clinician require written insurer permission, so the treating clinician record and any referrals are worker-controlled and directly shape the future-care record on which the WCMSA is built.",Sioux Falls,Rapid City,Aberdeen,Brookings,Watertown,,N,CONFIRMED,"https://dlr.sd.gov/workers_compensation/default.aspx; https://sdlegislature.gov/Statutes/62-7; https://healthesystems.com/regulatory/south-dakota-approves-rulemaking-for-physician-fee-schedule/"
Tennessee,TN,tennessee,Tennessee WC Medical Fee Schedule,Tennessee Workers' Compensation Medical Fee Schedule (administered under Bureau of Workers' Compensation rules Chapter 0800-02-18),"Tennessee Department of Labor and Workforce Development, Bureau of Workers' Compensation",https://www.tn.gov/workforce/injuries-at-work/bureau-services/bureau-services/medical-fee-schedule.html,"AWP (current pricing as of date of service, updated per a 2025 rule amendment moving from monthly publication to current pricing); subject to ODG by MCG Health Drug Formulary (Chapter 0800-02-25); Y-status drugs dispensed without preauthorization; N-status drugs and all compounded, topical, and investigational drugs require prior approval; rate tables updated April 1 each year and obtained through FAIR Health","Bureau of Workers' Compensation, Court of Workers' Compensation Claims","Tennessee Bureau of Workers' Compensation, Court of Workers' Compensation Claims","A workers' compensation judge must review and approve or reject all settlements within three business days of receipt; the judge determines whether the employee is receiving substantially the benefits provided by the Tennessee Workers' Compensation Law, and if the claimant is unrepresented, the judge is statutorily required to fully inform the claimant of available benefits and procedural rights before approving.",Atlanta,"Tennessee's 2013 Workers' Compensation Reform Act (effective July 1 2014) transferred all claim jurisdiction from civil courts to an administrative Court of Workers' Compensation Claims; claims with injury dates before July 1 2014 remain in a separate pre-reform legal framework with different appeal paths, so the applicable procedural law governing a WCMSA settlement depends on the injury date.","Tennessee adopted the ODG pharmaceutical formulary as the state's mandatory drug formulary; N-status drugs in the ODG require preauthorization, and a WCMSA that projects N-status medications must document the carrier's prior approval or the clinician's plan to seek it, since post-settlement reimbursability of those drugs at Tennessee fee schedule rates is not automatic.","Tennessee Bureau rules explicitly state that the Bureau does not regulate WCMSAs and cannot assist with price disputes after medical benefits are closed; a WCMSA priced at Tennessee fee schedule rates will not be enforced by the Bureau after settlement, and the set-aside funds become the claimant's responsibility to administer against Medicare's requirements independently.",Nashville,Memphis,Knoxville,Chattanooga,Clarksville,,N,CONFIRMED,"https://www.tn.gov/workforce/injuries-at-work/bureau-services/bureau-services/medical-fee-schedule.html; https://www.tn.gov/workforce/injuries-at-work/bureau-services/bureau-services/medical-programs-redirect/medical-treatment-guidelines/drug-formulary.html; https://www.tn.gov/workforce/injuries-at-work/bureau-services/bureau-services/court-of-wc-claims/settlement-approval-process.html"
